sample	total_reads	mapped_reads	%mapped
S1_Pre_CD4Tn	3551283	2886644	81.28
S2_Pre_CD4Tnn	1624164	1331856	82
S3_Pre_CD8Tn	5186063	4391482	84.68
S4_Pre_CD8Tnn	6858036	5496131	80.14
S5_Post_CD4Tn	2102060	1684540	80.14
S6_Post_CD4Tnn	4979924	4227120	84.88
S7_Post_CD8Tn	4588065	3874148	84.44
S8_Post_CD8Tnn	5576795	4588460	82.28
S9_Pre_CD4Tn	1973644	1591819	80.65
S10_Pre_CD4Tnn	2236102	1861836	83.26
S11_Pre_CD8Tn	2342115	1912757	81.67
S12_Pre_CD8Tnn	1923219	1541908	80.17
S13_Post_CD4Tn	5318869	4283375	80.53
S14_Post_CD8Tn	2832340	2236906	78.98
S15_Post_CD4Tnn	3991137	3273758	82.03
S16_Post_CD8Tnn	5125947	4251248	82.94
S17_Pre_CD4Tn	2706010	2215148	81.86
S18_Pre_CD4Tnn	4677629	3754027	80.25
S19_Pre_CD8Tn	11436340	8980296	78.52
S20_Pre_CD8Tnn	2219273	1782686	80.33
S21_Post_CD4Tn	9733219	8383801	86.14
S22_Post_CD4Tnn	8208093	6661175	81.15
S23_Post_CD8Tn	9229931	7353643	79.67
S24_Post_CD8Tnn	11270204	9128067	80.99
S25_Control_CD4Tn	12140121	9899728	81.55
S26_Control_CD4Tnn	7147631	5201381	72.77
S27_Control_CD8Tn	11337373	9576653	84.47
S28_Control_CD8Tnn	5707777	4638478	81.27
